"Date","Price","Open","High","Low","Change %"
"Jun 09, 2022","3,850.18","3,807.11","3,868.02","3,803.11","1.19%"
"Jun 08, 2022","3,805.00","3,787.00","3,808.29","3,762.00","0.48%"
"Jun 07, 2022","3,787.00","3,793.00","3,822.00","3,768.50","-0.16%"
"Jun 06, 2022","3,793.00","3,775.50","3,816.95","3,773.00","0.46%"
"Jun 03, 2022","3,775.50","3,774.00","3,785.00","3,754.70","0.04%"
"Jun 02, 2022","3,774.00","3,802.00","3,806.42","3,769.05","-0.74%"
"Jun 01, 2022","3,802.00","3,770.00","3,811.20","3,760.00","0.85%"
"May 31, 2022","3,770.00","3,802.35","3,817.25","3,764.30","-0.79%"
"May 30, 2022","3,800.00","3,933.50","3,933.50","3,795.00","-3.39%"
"May 27, 2022","3,933.50","3,922.00","3,947.50","3,892.10","0.29%"
"May 26, 2022","3,922.00","3,937.60","3,945.00","3,918.10","-0.40%"
"May 25, 2022","3,937.60","3,976.33","3,996.50","3,934.05","-0.97%"
"May 24, 2022","3,976.33","3,980.00","3,980.58","3,956.80","-0.09%"
"May 23, 2022","3,980.00","3,972.00","3,980.00","3,925.00","0.20%"
"May 20, 2022","3,972.00","4,054.72","4,054.72","3,959.00","-2.04%"
"May 19, 2022","4,054.72","4,072.96","4,072.96","4,038.05","-0.45%"
"May 18, 2022","4,072.96","4,030.50","4,074.75","4,015.26","1.05%"
"May 17, 2022","4,030.50","4,055.00","4,055.00","4,013.00","-0.60%"
"May 16, 2022","4,055.00","4,110.50","4,112.43","4,045.50","-1.35%"
"May 13, 2022","4,110.50","4,109.98","4,121.00","4,091.82","0.01%"
"May 12, 2022","4,109.98","4,083.75","4,133.00","4,079.64","0.64%"
"May 11, 2022","4,083.75","4,078.00","4,105.00","4,065.55","0.14%"
"May 10, 2022","4,078.00","4,091.00","4,103.50","4,062.00","-0.32%"
"May 09, 2022","4,091.00","4,057.75","4,101.00","4,051.05","0.82%"
"May 06, 2022","4,057.75","4,088.25","4,094.20","4,032.00","-0.75%"
"May 05, 2022","4,088.25","4,068.25","4,106.65","4,055.00","0.49%"
"May 04, 2022","4,068.25","4,030.00","4,078.90","4,020.00","0.95%"
"May 03, 2022","4,030.00","4,009.98","4,031.00","3,984.50","0.50%"
