Date;Price;Open;High;Low;Change %;Date;Dia;Año;mes;Fecha1;Fecha
Mar 04 2022;3830.01;3759.44;3830.01;3755.68;0.0188;March;4;2022;3;2022-03-4;4/03/2022
Mar 07 2022;3813.01;3830.01;3830.01;3798.51;-0.0044;March;7;2022;3;2022-03-7;7/03/2022
Mar 08 2022;3771.06;3813.01;3815.9;3769.89;-0.011;March;8;2022;3;2022-03-8;8/03/2022
Mar 09 2022;3743.01;3771.05;3771.05;3728.11;-0.0074;March;9;2022;3;2022-03-9;9/03/2022
Mar 10 2022;3822.01;3743.01;3838.01;3743.01;0.0211;March;10;2022;3;2022-03-10;10/03/2022
Mar 11 2022;3820.01;3822.01;3847.76;3806.61;-0.0005;March;11;2022;3;2022-03-11;11/03/2022
Mar 14 2022;3797.61;3820.01;3830.01;3771.51;-0.0059;March;14;2022;3;2022-03-14;14/03/2022
Mar 15 2022;3829.01;3797.61;3853.95;3784.49;0.0083;March;15;2022;3;2022-03-15;15/03/2022
Mar 16 2022;3835.01;3829.01;3840.01;3811.4;0.0016;March;16;2022;3;2022-03-16;16/03/2022
Mar 17 2022;3825.01;3835.01;3835.01;3805.15;-0.0026;March;17;2022;3;2022-03-17;17/03/2022
Mar 18 2022;3818.76;3825.01;3838.01;3805.05;-0.0016;March;18;2022;3;2022-03-18;18/03/2022
Mar 21 2022;3800.01;3818.76;3821.64;3800.01;-0.0049;March;21;2022;3;2022-03-21;21/03/2022
Mar 22 2022;3760.52;3800.01;3818.76;3751.51;-0.0104;March;22;2022;3;2022-03-22;22/03/2022
Mar 23 2022;3783.51;3760.51;3792.01;3732.01;0.0061;March;23;2022;3;2022-03-23;23/03/2022
Mar 24 2022;3787.01;3783.51;3816.99;3775.01;0.0009;March;24;2022;3;2022-03-24;24/03/2022
Mar 25 2022;3794.65;3787.01;3800.01;3760.2;0.002;March;25;2022;3;2022-03-25;25/03/2022
Mar 28 2022;3785.2;3794.65;3808.01;3775.01;-0.0025;March;28;2022;3;2022-03-28;28/03/2022
Mar 29 2022;3755.15;3785.2;3788.1;3755.15;-0.0079;March;29;2022;3;2022-03-29;29/03/2022
Mar 30 2022;3753.7;3756.34;3766.95;3738.26;-0.0004;March;30;2022;3;2022-03-30;30/03/2022
Mar 31 2022;3773.01;3753.7;3773.01;3748.11;0.0051;March;31;2022;3;2022-03-31;31/03/2022
Apr 01 2022;3749.05;3773.01;3797.95;3749.05;-0.0064;April;1;2022;4;2022-04-1;1/04/2022
Apr 04 2022;3704.51;3749.05;3749.53;3690.01;-0.0119;April;4;2022;4;2022-04-4;4/04/2022
Apr 05 2022;3740.95;3704.51;3749.9;3693.01;0.0098;April;5;2022;4;2022-04-5;5/04/2022
Apr 06 2022;3752.01;3740.95;3761.99;3725.01;0.003;April;6;2022;4;2022-04-6;6/04/2022
Apr 07 2022;3769.45;3752.01;3780.01;3740.01;0.0046;April;7;2022;4;2022-04-7;7/04/2022
Apr 08 2022;3757.01;3769.45;3798.01;3749.01;-0.0033;April;8;2022;4;2022-04-8;8/04/2022
Apr 11 2022;3739.01;3757.01;3762.01;3732.01;-0.0048;April;11;2022;4;2022-04-11;11/04/2022
Apr 12 2022;3753.34;3739.01;3768.01;3710.01;0.0038;April;12;2022;4;2022-04-12;12/04/2022
Apr 13 2022;3723.01;3752.14;3760.82;3718.26;-0.0081;April;13;2022;4;2022-04-13;13/04/2022
Apr 14 2022;3741.32;3725.06;3749.06;3721.5;0.0049;April;14;2022;4;2022-04-14;14/04/2022
Apr 15 2022;3723.01;3743.01;3744.99;3723.01;-0.0049;April;15;2022;4;2022-04-15;15/04/2022
Apr 18 2022;3732.51;3723.01;3744.01;3716.7;0.0026;April;18;2022;4;2022-04-18;18/04/2022
Apr 19 2022;3749.49;3732.51;3767.99;3732.51;0.0045;April;19;2022;4;2022-04-19;19/04/2022
Apr 20 2022;3759.4;3749.49;3769.15;3743.49;0.0026;April;20;2022;4;2022-04-20;20/04/2022
Apr 21 2022;3774.01;3759.4;3777.01;3747.01;0.0039;April;21;2022;4;2022-04-21;21/04/2022
Apr 22 2022;3856.01;3774.01;3859.01;3770.23;0.0217;April;22;2022;4;2022-04-22;22/04/2022
Apr 25 2022;3936.5;3859.06;3959.67;3855.21;0.0209;April;25;2022;4;2022-04-25;25/04/2022
Apr 26 2022;3944.7;3936.5;3965.1;3932.57;0.0021;April;26;2022;4;2022-04-26;26/04/2022
Apr 27 2022;3955;3944.7;3986.95;3940.76;0.0026;April;27;2022;4;2022-04-27;27/04/2022
Apr 28 2022;3984.95;3955;3999.75;3954.58;0.0076;April;28;2022;4;2022-04-28;28/04/2022
Apr 29 2022;3958;3984.95;3990.9;3951.35;-0.0068;April;29;2022;4;2022-04-29;29/04/2022
May 02 2022;4009.98;3958;4017;3958;0.0131;May;2;2022;5;2022-05-2;2/05/2022
May 03 2022;4030;4009.98;4031;3984.5;0.005;May;3;2022;5;2022-05-3;3/05/2022
May 04 2022;4068.25;4030;4078.9;4020;0.0095;May;4;2022;5;2022-05-4;4/05/2022
May 05 2022;4088.25;4068.25;4106.65;4055;0.0049;May;5;2022;5;2022-05-5;5/05/2022
May 06 2022;4057.75;4088.25;4094.2;4032;-0.0075;May;6;2022;5;2022-05-6;6/05/2022
May 09 2022;4091;4057.75;4101;4051.05;0.0082;May;9;2022;5;2022-05-9;9/05/2022
May 10 2022;4078;4091;4103.5;4062;-0.0032;May;10;2022;5;2022-05-10;10/05/2022
May 11 2022;4083.75;4078;4105;4065.55;0.0014;May;11;2022;5;2022-05-11;11/05/2022
May 12 2022;4109.98;4083.75;4133;4079.64;0.0064;May;12;2022;5;2022-05-12;12/05/2022
May 13 2022;4110.5;4109.98;4121;4091.82;0.0001;May;13;2022;5;2022-05-13;13/05/2022
May 16 2022;4055;4110.5;4112.43;4045.5;-0.0135;May;16;2022;5;2022-05-16;16/05/2022
May 17 2022;4030.5;4055;4055;4013;-0.006;May;17;2022;5;2022-05-17;17/05/2022
May 18 2022;4072.96;4030.5;4074.75;4015.26;0.0105;May;18;2022;5;2022-05-18;18/05/2022
May 19 2022;4054.72;4072.96;4072.96;4038.05;-0.0045;May;19;2022;5;2022-05-19;19/05/2022
May 20 2022;3972;4054.72;4054.72;3959;-0.0204;May;20;2022;5;2022-05-20;20/05/2022
May 23 2022;3980;3972;3980;3925;0.002;May;23;2022;5;2022-05-23;23/05/2022
May 24 2022;3976.33;3980;3980.58;3956.8;-0.0009;May;24;2022;5;2022-05-24;24/05/2022
May 25 2022;3937.6;3976.33;3996.5;3934.05;-0.0097;May;25;2022;5;2022-05-25;25/05/2022
May 26 2022;3922;3937.6;3945;3918.1;-0.004;May;26;2022;5;2022-05-26;26/05/2022
May 27 2022;3933.5;3922;3947.5;3892.1;0.0029;May;27;2022;5;2022-05-27;27/05/2022
May 30 2022;3800;3933.5;3933.5;3795;-0.0339;May;30;2022;5;2022-05-30;30/05/2022
May 31 2022;3770;3802.35;3817.25;3764.3;-0.0079;May;31;2022;5;2022-05-31;31/05/2022
Jun 01 2022;3802;3770;3811.2;3760;0.0085;June;1;2022;6;2022-06-1;1/06/2022
Jun 02 2022;3774;3802;3806.42;3769.05;-0.0074;June;2;2022;6;2022-06-2;2/06/2022
Jun 03 2022;3775.5;3774;3785;3754.7;0.0004;June;3;2022;6;2022-06-3;3/06/2022
Jun 06 2022;3793;3775.5;3816.95;3773;0.0046;June;6;2022;6;2022-06-6;6/06/2022
Jun 07 2022;3787;3793;3822;3768.5;-0.0016;June;7;2022;6;2022-06-7;7/06/2022
Jun 08 2022;3805;3787;3808.29;3762;0.0048;June;8;2022;6;2022-06-8;8/06/2022
Jun 09 2022;3850.18;3807.11;3868.02;3803.11;0.0119;June;9;2022;6;2022-06-9;9/06/2022
Jun 10 2022;3944.4;3851.9;3946.4;3851.9;0.0245;June;10;2022;6;2022-06-10;10/06/2022
Jun 13 2022;3971;3944.4;4041.9;3937.48;0.0067;June;13;2022;6;2022-06-13;13/06/2022
Jun 14 2022;3968.9;3971;4001.75;3948.6;-0.0005;June;14;2022;6;2022-06-14;14/06/2022
Jun 15 2022;3897.6;3973.6;3985.1;3890;-0.018;June;15;2022;6;2022-06-15;15/06/2022
Jun 16 2022;3898;3890.55;3943.7;3890.55;0.0001;June;16;2022;6;2022-06-16;16/06/2022
Jun 17 2022;3904.99;3898;3921;3889;0.0018;June;17;2022;6;2022-06-17;17/06/2022
Jun 20 2022;3897.94;3904.99;3904.99;3904.99;-0.0018;June;20;2022;6;2022-06-20;20/06/2022
Jun 21 2022;4010.75;3904.99;4035.43;3902.01;0.0289;June;21;2022;6;2022-06-21;21/06/2022
Jun 22 2022;4014.88;4022.5;4043.44;4010.56;0.001;June;22;2022;6;2022-06-22;22/06/2022
Jun 23 2022;4096.13;4020.75;4118.4;4016.69;0.0202;June;23;2022;6;2022-06-23;23/06/2022
Jun 24 2022;4131.1;4102;4156.7;4082.56;0.0085;June;24;2022;6;2022-06-24;24/06/2022
